"entitynum","samplenum","varname","varnum","count"
98.00,1.00,"Rubiaceae undiff.",1219.00,1.00
98.00,1.00,"Selaginella",189.00,3.00
98.00,1.00,"Triletes undiff.",1230.00,3.00
98.00,1.00,"Uapaca",10.00,1.00
98.00,1.00,"Undetermined",1231.00,16.00
99.00,1.00,"Acalypha",133.00,25.00
99.00,1.00,"Alchemilla",138.00,7.00
99.00,1.00,"Alchornea hirtella-type",,1.00
99.00,1.00,"Amaranthaceae undiff.",3578.00,1.00
99.00,1.00,"Anthocleista grandiflora-type",3905.00,1.00
99.00,1.00,"Apiaceae undiff.",1171.00,2.00
99.00,1.00,"Caryophyllaceae/Amaranthaceae undiff.",,2.00
99.00,1.00,"Cassipourea",191.00,2.00
99.00,1.00,"Celastraceae undiff.",2719.00,1.00
99.00,1.00,"Celtis",16.00,1.00
99.00,1.00,"Combretaceae/Melastomataceae undiff.",3753.00,2.00
99.00,1.00,"Cyperaceae undiff.",1190.00,1124.00
99.00,1.00,"Dodonaea viscosa-type",1222.00,6.00
99.00,1.00,"Ericaceae undiff.",1193.00,26.00
99.00,1.00,"Faurea-type",4034.00,1.00
99.00,1.00,"Hagenia abyssinica",139.00,1.00
99.00,1.00,"Helichrysum/Bidens",1309.00,44.00
99.00,1.00,"Hypericum",134.00,12.00
99.00,1.00,"Impatiens",154.00,1.00
99.00,1.00,"Indeterminable",1198.00,33.00
99.00,1.00,"Justicia-type",107.00,1.00
99.00,1.00,"Lobelia",135.00,2.00
99.00,1.00,"Macaranga-type capensis",3820.00,5.00
99.00,1.00,"Monocotyledoneae undiff.",1202.00,3.00
99.00,1.00,"Monoletes undiff.",1203.00,9.00
99.00,1.00,"Myrica",136.00,79.00
99.00,1.00,"Neoboutonia-type macrocalyx",2999.00,1.00
99.00,1.00,"Nuxia-type congesta",1398.00,14.00
99.00,1.00,"Olea",170.00,4.00
99.00,1.00,"Poaceae undiff.",1207.00,110.00
99.00,1.00,"Podocarpus",128.00,6.00
99.00,1.00,"Ranunculus-type",3462.00,6.00
99.00,1.00,"Rapanea melanophloeos-type",2105.00,1.00
99.00,1.00,"Rhus-type",616.00,1.00
99.00,1.00,"Rubia-type",621.00,1.00
99.00,1.00,"Rumex",146.00,7.00
99.00,1.00,"Subularia monticola",3671.00,3.00
99.00,1.00,"Syzygium-type",5.00,1.00
99.00,1.00,"Trema-type orientalis",623.00,3.00
99.00,1.00,"Triletes undiff.",1230.00,27.00
99.00,1.00,"Triumfetta-type",102.00,1.00
99.00,1.00,"Undetermined",1231.00,38.00
99.00,1.00,"Urera-type hypselodendron",,6.00
100.00,1.00,"Acalypha",133.00,3.00
100.00,1.00,"Alchemilla",138.00,1.00
100.00,1.00,"Amaranthaceae undiff.",3578.00,1.00
100.00,1.00,"Apiaceae undiff.",1171.00,1.00
100.00,1.00,"Celtis",16.00,3.00
100.00,1.00,"Combretaceae undiff.",1187.00,1.00
100.00,1.00,"Cyperaceae undiff.",1190.00,8.00
100.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
100.00,1.00,"Ericaceae undiff.",1193.00,11.00
100.00,1.00,"Galiniera saxifraga",4052.00,1.00
100.00,1.00,"Helichrysum-type",1321.00,89.00
100.00,1.00,"Indeterminable",1198.00,39.00
100.00,1.00,"Lobelia",135.00,35.00
100.00,1.00,"Macaranga-type capensis",3820.00,5.00
100.00,1.00,"Monocotyledoneae undiff.",1202.00,1.00
100.00,1.00,"Monoletes undiff.",1203.00,5.00
100.00,1.00,"Olea",170.00,5.00
100.00,1.00,"Poaceae undiff.",1207.00,47.00
100.00,1.00,"Podocarpus",128.00,27.00
100.00,1.00,"Rapanea melanophloeos-type",2105.00,5.00
100.00,1.00,"Senecio-type",1660.00,78.00
100.00,1.00,"Subularia monticola",3671.00,6.00
100.00,1.00,"Syzygium-type",5.00,1.00
100.00,1.00,"Triletes undiff.",1230.00,7.00
100.00,1.00,"Undetermined",1231.00,2.00
100.00,1.00,"Urticaceae undiff.",1232.00,2.00
101.00,1.00,"Acrostichum",,1.00
101.00,1.00,"Alchornea",118.00,2.00
101.00,1.00,"Asteraceae undiff.",1174.00,1.00
101.00,1.00,"Calamus deerratus",3994.00,1.00
101.00,1.00,"Ceiba pentandra",30.00,2.00
101.00,1.00,"Cyperaceae undiff.",1190.00,4.00
101.00,1.00,"Delonix regia-type",10053.00,1.00
101.00,1.00,"Elaeis guineensis",23.00,8.00
101.00,1.00,"Hippocrateaceae undiff.",3872.00,1.00
101.00,1.00,"Indeterminable",1198.00,2.00
101.00,1.00,"Lannea-type",66.00,1.00
101.00,1.00,"Lygodium microphyllum",262.00,1.00
101.00,1.00,"Meliaceae/Sapotaceae undiff.",3922.00,3.00
101.00,1.00,"Mimosaceae undiff.",3942.00,3.00
101.00,1.00,"Monoletes undiff.",1203.00,27.00
101.00,1.00,"Palmae undiff.",2655.00,3.00
101.00,1.00,"Pandanus",590.00,1.00
101.00,1.00,"Phoenix",26.00,1.00
101.00,1.00,"Poaceae undiff.",1207.00,14.00
101.00,1.00,"Pteris-type",398.00,1.00
101.00,1.00,"Rhizophora",243.00,2.00
101.00,1.00,"Selaginella",189.00,4.00
101.00,1.00,"Triletes undiff.",1230.00,9.00
101.00,1.00,"Undetermined",1231.00,13.00
102.00,1.00,"Acrostichum",,1.00
102.00,1.00,"Alchornea",118.00,1.00
102.00,1.00,"Ceiba pentandra",30.00,1.00
102.00,1.00,"Celtis/Trema",,1.00
102.00,1.00,"Combretaceae undiff.",1187.00,1.00
102.00,1.00,"Crudia-type",2009.00,1.00
102.00,1.00,"Cyperaceae undiff.",1190.00,3.00
102.00,1.00,"Delonix regia-type",10053.00,1.00
102.00,1.00,"Elaeis guineensis",23.00,2.00
102.00,1.00,"Indeterminable",1198.00,3.00
102.00,1.00,"Lannea-type",66.00,2.00
102.00,1.00,"Lygodium microphyllum",262.00,2.00
102.00,1.00,"Meliaceae/Sapotaceae undiff.",3922.00,1.00
102.00,1.00,"Monoletes undiff.",1203.00,8.00
102.00,1.00,"Poaceae undiff.",1207.00,9.00
102.00,1.00,"Rhizophora",243.00,2.00
102.00,1.00,"Selaginella",189.00,1.00
102.00,1.00,"Triletes undiff.",1230.00,2.00
102.00,1.00,"Undetermined",1231.00,14.00
103.00,1.00,"Acalypha",133.00,4.00
103.00,1.00,"Apiaceae undiff.",1171.00,1.00
103.00,1.00,"Artemisia afra-type",,1.00
103.00,1.00,"Celtis",16.00,7.00
103.00,1.00,"Cyperaceae undiff.",1190.00,13.00
103.00,1.00,"Ericaceae undiff.",1193.00,14.00
103.00,1.00,"Faurea-type",4034.00,2.00
103.00,1.00,"Helichrysum-type",1321.00,139.00
103.00,1.00,"Hypericum",134.00,1.00
103.00,1.00,"Indeterminable",1198.00,22.00
103.00,1.00,"Lobelia",135.00,27.00
103.00,1.00,"Macaranga-type capensis",3820.00,6.00
103.00,1.00,"Meliaceae undiff.",3920.00,1.00
103.00,1.00,"Monoletes undiff.",1203.00,12.00
103.00,1.00,"Myrica",136.00,1.00
103.00,1.00,"Olea",170.00,6.00
103.00,1.00,"Poaceae undiff.",1207.00,54.00
103.00,1.00,"Podocarpus",128.00,27.00
103.00,1.00,"Rapanea melanophloeos-type",2105.00,2.00
103.00,1.00,"Rubia-type",621.00,2.00
103.00,1.00,"Senecio-type",1660.00,97.00
103.00,1.00,"Subularia monticola",3671.00,6.00
103.00,1.00,"Syzygium-type",5.00,1.00
103.00,1.00,"Triletes undiff.",1230.00,5.00
103.00,1.00,"Typha",112.00,1.00
103.00,1.00,"Undetermined",1231.00,3.00
103.00,1.00,"Urticaceae undiff.",1232.00,11.00
104.00,1.00,"Alchornea",118.00,1.00
104.00,1.00,"Asteraceae undiff.",1174.00,1.00
104.00,1.00,"Ceiba pentandra",30.00,1.00
104.00,1.00,"Crudia-type",2009.00,1.00
104.00,1.00,"Cyperaceae undiff.",1190.00,4.00
104.00,1.00,"Elaeis guineensis",23.00,4.00
104.00,1.00,"Meliaceae/Sapotaceae undiff.",3922.00,1.00
104.00,1.00,"Mimosaceae undiff.",3942.00,1.00
104.00,1.00,"Monoletes undiff.",1203.00,20.00
104.00,1.00,"Palmae undiff.",2655.00,1.00
104.00,1.00,"Pinus",437.00,1.00
104.00,1.00,"Poaceae undiff.",1207.00,11.00
104.00,1.00,"Pteris-type",398.00,2.00
104.00,1.00,"Rhizophora",243.00,2.00
104.00,1.00,"Selaginella",189.00,3.00
104.00,1.00,"Triletes undiff.",1230.00,2.00
104.00,1.00,"Undetermined",1231.00,11.00
105.00,1.00,"Alchornea",118.00,3.00
105.00,1.00,"Asteraceae undiff.",1174.00,1.00
105.00,1.00,"Cyperaceae undiff.",1190.00,3.00
105.00,1.00,"Elaeis guineensis",23.00,2.00
105.00,1.00,"Hugonia",703.00,1.00
105.00,1.00,"Monoletes undiff.",1203.00,19.00
105.00,1.00,"Palmae undiff.",2655.00,1.00
105.00,1.00,"Poaceae undiff.",1207.00,15.00
105.00,1.00,"Pteris-type",398.00,2.00
105.00,1.00,"Pycnanthus",470.00,1.00
105.00,1.00,"Rhizophora",243.00,2.00
105.00,1.00,"Rubiaceae undiff.",1219.00,1.00
105.00,1.00,"Triletes undiff.",1230.00,1.00
105.00,1.00,"Undetermined",1231.00,8.00
106.00,1.00,"Acalypha",133.00,6.00
106.00,1.00,"Alchemilla",138.00,1.00
106.00,1.00,"Apiaceae undiff.",1171.00,7.00
106.00,1.00,"Celtis",16.00,9.00
106.00,1.00,"Cyperaceae undiff.",1190.00,22.00
106.00,1.00,"Ericaceae undiff.",1193.00,7.00
106.00,1.00,"Galium-type ruwenzoriense",,1.00
106.00,1.00,"Hagenia abyssinica",139.00,1.00
106.00,1.00,"Helichrysum-type",1321.00,36.00
106.00,1.00,"Indeterminable",1198.00,37.00
106.00,1.00,"Lobelia",135.00,52.00
106.00,1.00,"Macaranga-type barteri",,1.00
106.00,1.00,"Macaranga-type capensis",3820.00,4.00
106.00,1.00,"Monoletes undiff.",1203.00,3.00
106.00,1.00,"Olea",170.00,3.00
106.00,1.00,"Poaceae undiff.",1207.00,23.00
106.00,1.00,"Podocarpus",128.00,16.00
106.00,1.00,"Rapanea melanophloeos-type",2105.00,2.00
106.00,1.00,"Rubia-type",621.00,23.00
106.00,1.00,"Senecio-type",1660.00,107.00
106.00,1.00,"Subularia monticola",3671.00,5.00
106.00,1.00,"Triletes undiff.",1230.00,7.00
106.00,1.00,"Undetermined",1231.00,4.00
106.00,1.00,"Urticaceae undiff.",1232.00,3.00
107.00,1.00,"Acalypha",133.00,7.00
107.00,1.00,"Alchemilla",138.00,2.00
107.00,1.00,"Apiaceae undiff.",1171.00,3.00
107.00,1.00,"Caryophyllaceae undiff.",927.00,1.00
107.00,1.00,"Celtis",16.00,3.00
107.00,1.00,"Combretaceae undiff.",1187.00,1.00
107.00,1.00,"Cyperaceae undiff.",1190.00,18.00
107.00,1.00,"Ericaceae undiff.",1193.00,28.00
107.00,1.00,"Helichrysum-type",1321.00,67.00
107.00,1.00,"Indeterminable",1198.00,31.00
107.00,1.00,"Lobelia",135.00,22.00
107.00,1.00,"Macaranga-type capensis",3820.00,3.00
107.00,1.00,"Monoletes undiff.",1203.00,8.00
107.00,1.00,"Olea",170.00,2.00
107.00,1.00,"Poaceae undiff.",1207.00,28.00
107.00,1.00,"Podocarpus",128.00,21.00
107.00,1.00,"Rapanea melanophloeos-type",2105.00,2.00
107.00,1.00,"Rubia-type",621.00,22.00
107.00,1.00,"Senecio-type",1660.00,105.00
107.00,1.00,"Subularia monticola",3671.00,18.00
107.00,1.00,"Syzygium-type",5.00,1.00
107.00,1.00,"Trema-type orientalis",623.00,1.00
107.00,1.00,"Triletes undiff.",1230.00,4.00
107.00,1.00,"Undetermined",1231.00,13.00
107.00,1.00,"Urticaceae undiff.",1232.00,13.00
108.00,1.00,"Acalypha",133.00,1.00
108.00,1.00,"Begonia",142.00,1.00
108.00,1.00,"Coffea",2880.00,8.00
108.00,1.00,"Cyperaceae undiff.",1190.00,5.00
108.00,1.00,"Indeterminable",1198.00,3.00
108.00,1.00,"Mitragyna-type inermis",2040.00,1.00
108.00,1.00,"Monoletes undiff.",1203.00,6.00
108.00,1.00,"Myrica",136.00,7.00
108.00,1.00,"Poaceae undiff.",1207.00,7.00
108.00,1.00,"Syzygium-type",5.00,14.00
108.00,1.00,"Urera-type hypselodendron",,2.00
109.00,1.00,"Acalypha",133.00,11.00
109.00,1.00,"Araliaceae undiff.",1173.00,2.00
109.00,1.00,"Caryophyllaceae undiff.",927.00,1.00
109.00,1.00,"Celtis",16.00,3.00
109.00,1.00,"Combretaceae undiff.",1187.00,1.00
109.00,1.00,"Cyperaceae undiff.",1190.00,127.00
109.00,1.00,"Ericaceae undiff.",1193.00,6.00
109.00,1.00,"Galium-type",369.00,1.00
109.00,1.00,"Helichrysum-type",1321.00,8.00
109.00,1.00,"Indeterminable",1198.00,9.00
109.00,1.00,"Lobelia",135.00,6.00
109.00,1.00,"Macaranga-type capensis",3820.00,6.00
109.00,1.00,"Monoletes undiff.",1203.00,3.00
109.00,1.00,"Neoboutonia-type macrocalyx",2999.00,1.00
109.00,1.00,"Olea",170.00,4.00
109.00,1.00,"Poaceae undiff.",1207.00,39.00
109.00,1.00,"Podocarpus",128.00,11.00
109.00,1.00,"Rapanea melanophloeos-type",2105.00,6.00
109.00,1.00,"Rhus-type",616.00,1.00
109.00,1.00,"Senecio-type",1660.00,1.00
109.00,1.00,"Subularia monticola",3671.00,1.00
109.00,1.00,"Trema-type orientalis",623.00,1.00
109.00,1.00,"Triletes undiff.",1230.00,27.00
109.00,1.00,"Undetermined",1231.00,4.00
109.00,1.00,"Urticaceae undiff.",1232.00,13.00
110.00,1.00,"Acalypha",133.00,28.00
110.00,1.00,"Alchemilla",138.00,7.00
110.00,1.00,"Amaranthaceae undiff.",3578.00,2.00
110.00,1.00,"Apiaceae undiff.",1171.00,3.00
110.00,1.00,"Caryophyllaceae undiff.",927.00,2.00
110.00,1.00,"Celtis",16.00,5.00
110.00,1.00,"Cyperaceae undiff.",1190.00,1723.00
110.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
110.00,1.00,"Ericaceae undiff.",1193.00,16.00
110.00,1.00,"Helichrysum-type",1321.00,49.00
110.00,1.00,"Indeterminable",1198.00,29.00
110.00,1.00,"Laurembergia tetrandra",477.00,1.00
110.00,1.00,"Lobelia",135.00,34.00
110.00,1.00,"Macaranga-type capensis",3820.00,20.00
110.00,1.00,"Monoletes undiff.",1203.00,11.00
110.00,1.00,"Myrica",136.00,3.00
110.00,1.00,"Olea",170.00,4.00
110.00,1.00,"Poaceae undiff.",1207.00,87.00
110.00,1.00,"Podocarpus",128.00,11.00
110.00,1.00,"Rapanea melanophloeos-type",2105.00,14.00
110.00,1.00,"Rubia-type",621.00,6.00
110.00,1.00,"Rumex",146.00,1.00
110.00,1.00,"Senecio-type",1660.00,19.00
110.00,1.00,"Subularia monticola",3671.00,12.00
110.00,1.00,"Syzygium-type",5.00,1.00
110.00,1.00,"Trema-type orientalis",623.00,2.00
110.00,1.00,"Triletes undiff.",1230.00,10.00
110.00,1.00,"Undetermined",1231.00,8.00
110.00,1.00,"Urticaceae undiff.",1232.00,14.00
111.00,1.00,"Acalypha",133.00,20.00
111.00,1.00,"Alchemilla",138.00,21.00
111.00,1.00,"Alchornea hirtella-type",,1.00
111.00,1.00,"Amaranthaceae undiff.",3578.00,3.00
111.00,1.00,"Anthospermum",140.00,1.00
111.00,1.00,"Apiaceae undiff.",1171.00,1.00
111.00,1.00,"Celtis",16.00,4.00
111.00,1.00,"Cyperaceae undiff.",1190.00,773.00
111.00,1.00,"Ericaceae undiff.",1193.00,7.00
111.00,1.00,"Faurea-type",4034.00,1.00
111.00,1.00,"Hagenia abyssinica",139.00,1.00
111.00,1.00,"Helichrysum-type",1321.00,48.00
111.00,1.00,"Indeterminable",1198.00,15.00
111.00,1.00,"Lobelia",135.00,29.00
111.00,1.00,"Macaranga-type capensis",3820.00,10.00
111.00,1.00,"Monoletes undiff.",1203.00,6.00
111.00,1.00,"Myrica",136.00,4.00
111.00,1.00,"Olea",170.00,4.00
111.00,1.00,"Plantago",1064.00,1.00
111.00,1.00,"Poaceae undiff.",1207.00,97.00
111.00,1.00,"Podocarpus",128.00,11.00
111.00,1.00,"Rapanea melanophloeos-type",2105.00,7.00
111.00,1.00,"Senecio-type",1660.00,23.00
111.00,1.00,"Stoebe kilimandscharica-type",1179.00,1.00
111.00,1.00,"Subularia monticola",3671.00,28.00
111.00,1.00,"Triletes undiff.",1230.00,11.00
111.00,1.00,"Undetermined",1231.00,10.00
111.00,1.00,"Urticaceae undiff.",1232.00,15.00
112.00,1.00,"Acacia",37.00,1.00
112.00,1.00,"Acalypha",133.00,34.00
112.00,1.00,"Alchemilla",138.00,5.00
112.00,1.00,"Amaranthaceae undiff.",3578.00,1.00
112.00,1.00,"Apiaceae undiff.",1171.00,1.00
112.00,1.00,"Bersama abyssinica-type",692.00,1.00
112.00,1.00,"Celtis",16.00,18.00
112.00,1.00,"Combretaceae undiff.",1187.00,3.00
112.00,1.00,"Cyperaceae undiff.",1190.00,109.00
112.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
112.00,1.00,"Ericaceae undiff.",1193.00,27.00
112.00,1.00,"Hagenia abyssinica",139.00,2.00
112.00,1.00,"Helichrysum-type",1321.00,69.00
112.00,1.00,"Hypericum",134.00,1.00
112.00,1.00,"Indeterminable",1198.00,34.00
112.00,1.00,"Lobelia",135.00,35.00
112.00,1.00,"Macaranga-type capensis",3820.00,19.00
112.00,1.00,"Monoletes undiff.",1203.00,12.00
112.00,1.00,"Myrica",136.00,4.00
112.00,1.00,"Neoboutonia-type macrocalyx",2999.00,2.00
112.00,1.00,"Olea",170.00,12.00
112.00,1.00,"Plantago",1064.00,2.00
112.00,1.00,"Poaceae undiff.",1207.00,101.00
112.00,1.00,"Podocarpus",128.00,28.00
112.00,1.00,"Rapanea melanophloeos-type",2105.00,16.00
112.00,1.00,"Rhus-type",616.00,2.00
112.00,1.00,"Rumex",146.00,2.00
112.00,1.00,"Senecio-type",1660.00,55.00
112.00,1.00,"Subularia monticola",3671.00,43.00
112.00,1.00,"Syzygium-type",5.00,1.00
112.00,1.00,"Trema-type orientalis",623.00,1.00
112.00,1.00,"Triletes undiff.",1230.00,12.00
112.00,1.00,"Typha",112.00,1.00
112.00,1.00,"Undetermined",1231.00,1.00
112.00,1.00,"Urticaceae undiff.",1232.00,36.00
113.00,1.00,"Acalypha",133.00,2.00
113.00,1.00,"Alchemilla",138.00,1.00
113.00,1.00,"Celtis",16.00,5.00
113.00,1.00,"Cyperaceae undiff.",1190.00,17.00
113.00,1.00,"Ericaceae undiff.",1193.00,4.00
113.00,1.00,"Helichrysum-type",1321.00,10.00
113.00,1.00,"Indeterminable",1198.00,4.00
113.00,1.00,"Lobelia",135.00,7.00
113.00,1.00,"Macaranga-type capensis",3820.00,5.00
113.00,1.00,"Monoletes undiff.",1203.00,5.00
113.00,1.00,"Myrica",136.00,1.00
113.00,1.00,"Neoboutonia-type macrocalyx",2999.00,1.00
113.00,1.00,"Olea",170.00,4.00
113.00,1.00,"Poaceae undiff.",1207.00,23.00
113.00,1.00,"Podocarpus",128.00,7.00
113.00,1.00,"Rapanea melanophloeos-type",2105.00,1.00
113.00,1.00,"Senecio-type",1660.00,17.00
113.00,1.00,"Subularia monticola",3671.00,11.00
113.00,1.00,"Triletes undiff.",1230.00,1.00
113.00,1.00,"Undetermined",1231.00,2.00
113.00,1.00,"Urticaceae undiff.",1232.00,3.00
114.00,1.00,"Alchemilla",138.00,343.00
114.00,1.00,"Anthospermum",140.00,1.00
114.00,1.00,"Apiaceae undiff.",1171.00,6.00
114.00,1.00,"Asteraceae undiff.",1174.00,27.00
114.00,1.00,"Croton-type",100.00,1.00
114.00,1.00,"Ericaceae undiff.",1193.00,1.00
114.00,1.00,"Hagenia abyssinica",139.00,3.00
114.00,1.00,"Lobelia",135.00,3.00
114.00,1.00,"Macaranga-type capensis",3820.00,1.00
114.00,1.00,"Myrica",136.00,1.00
114.00,1.00,"Olea",170.00,2.00
114.00,1.00,"Poaceae undiff.",1207.00,67.00
114.00,1.00,"Podocarpus",128.00,91.00
114.00,1.00,"Rapanea melanophloeos-type",2105.00,1.00
114.00,1.00,"Stoebe kilimandscharica-type",1179.00,4.00
114.00,1.00,"Subularia monticola",3671.00,9.00
114.00,1.00,"Undetermined",1231.00,8.00
114.00,1.00,"Valeriana",1408.00,1.00
115.00,1.00,"Acalypha",133.00,9.00
115.00,1.00,"Alchemilla",138.00,1.00
115.00,1.00,"Artemisia afra-type",,1.00
115.00,1.00,"Celtis",16.00,6.00
115.00,1.00,"Combretaceae undiff.",1187.00,3.00
115.00,1.00,"Cyperaceae undiff.",1190.00,19.00
115.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
115.00,1.00,"Ericaceae undiff.",1193.00,40.00
115.00,1.00,"Helichrysum-type",1321.00,15.00
115.00,1.00,"Indeterminable",1198.00,28.00
115.00,1.00,"Lobelia",135.00,11.00
115.00,1.00,"Macaranga-type capensis",3820.00,16.00
115.00,1.00,"Monoletes undiff.",1203.00,8.00
115.00,1.00,"Neoboutonia-type macrocalyx",2999.00,2.00
115.00,1.00,"Olea",170.00,6.00
115.00,1.00,"Poaceae undiff.",1207.00,60.00
115.00,1.00,"Podocarpus",128.00,18.00
115.00,1.00,"Rapanea melanophloeos-type",2105.00,7.00
115.00,1.00,"Senecio-type",1660.00,14.00
115.00,1.00,"Subularia monticola",3671.00,3.00
115.00,1.00,"Triletes undiff.",1230.00,5.00
115.00,1.00,"Undetermined",1231.00,4.00
115.00,1.00,"Urticaceae undiff.",1232.00,21.00
116.00,1.00,"Alchemilla",138.00,26.00
116.00,1.00,"Apiaceae undiff.",1171.00,5.00
116.00,1.00,"Artemisia afra-type",,4.00
116.00,1.00,"Asteraceae undiff.",1174.00,11.00
116.00,1.00,"Ericaceae undiff.",1193.00,1.00
116.00,1.00,"Hagenia abyssinica",139.00,1.00
116.00,1.00,"Poaceae undiff.",1207.00,36.00
116.00,1.00,"Podocarpus",128.00,18.00
116.00,1.00,"Subularia monticola",3671.00,1.00
116.00,1.00,"Zanthoxylum-type",788.00,1.00
117.00,1.00,"Acalypha",133.00,7.00
117.00,1.00,"Alchornea hirtella-type",,1.00
117.00,1.00,"Amaranthaceae undiff.",3578.00,1.00
117.00,1.00,"Artemisia afra-type",,1.00
117.00,1.00,"Celtis",16.00,3.00
117.00,1.00,"Combretaceae undiff.",1187.00,1.00
117.00,1.00,"Cyperaceae undiff.",1190.00,18.00
117.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
117.00,1.00,"Ericaceae undiff.",1193.00,25.00
117.00,1.00,"Galiniera saxifraga",4052.00,1.00
117.00,1.00,"Galium-type ruwenzoriense",,1.00
117.00,1.00,"Helichrysum-type",1321.00,6.00
117.00,1.00,"Hypericum",134.00,1.00
117.00,1.00,"Indeterminable",1198.00,12.00
117.00,1.00,"Lobelia",135.00,3.00
117.00,1.00,"Macaranga-type capensis",3820.00,7.00
117.00,1.00,"Monoletes undiff.",1203.00,5.00
117.00,1.00,"Olea",170.00,2.00
117.00,1.00,"Poaceae undiff.",1207.00,44.00
117.00,1.00,"Podocarpus",128.00,12.00
117.00,1.00,"Rapanea melanophloeos-type",2105.00,2.00
117.00,1.00,"Senecio-type",1660.00,15.00
117.00,1.00,"Subularia monticola",3671.00,1.00
117.00,1.00,"Triletes undiff.",1230.00,2.00
117.00,1.00,"Typha",112.00,1.00
117.00,1.00,"Undetermined",1231.00,3.00
117.00,1.00,"Urticaceae undiff.",1232.00,13.00
118.00,1.00,"Alchemilla",138.00,179.00
118.00,1.00,"Apiaceae undiff.",1171.00,1.00
118.00,1.00,"Asteraceae undiff.",1174.00,5.00
118.00,1.00,"Callitriche stagnalis/Subularia monticola",,76.00
118.00,1.00,"Cyperaceae undiff.",1190.00,17.00
118.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
118.00,1.00,"Ericaceae undiff.",1193.00,1.00
118.00,1.00,"Hagenia abyssinica",139.00,1.00
118.00,1.00,"Lobelia",135.00,2.00
118.00,1.00,"Macaranga-type capensis",3820.00,1.00
118.00,1.00,"Poaceae undiff.",1207.00,37.00
118.00,1.00,"Podocarpus",128.00,56.00
118.00,1.00,"Prunus africana-type",1215.00,1.00
118.00,1.00,"Ranunculus-type",3462.00,24.00
118.00,1.00,"Scrophulariaceae undiff.",1225.00,2.00
118.00,1.00,"Undetermined",1231.00,9.00
119.00,1.00,"Acalypha",133.00,24.00
119.00,1.00,"Alchemilla",138.00,3.00
119.00,1.00,"Alchornea hirtella-type",,1.00
119.00,1.00,"Celtis",16.00,4.00
119.00,1.00,"Cyperaceae undiff.",1190.00,6.00
119.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
119.00,1.00,"Ericaceae undiff.",1193.00,7.00
119.00,1.00,"Faurea-type",4034.00,1.00
119.00,1.00,"Hagenia abyssinica",139.00,1.00
119.00,1.00,"Helichrysum-type",1321.00,3.00
119.00,1.00,"Indeterminable",1198.00,13.00
119.00,1.00,"Lobelia",135.00,1.00
119.00,1.00,"Macaranga-type capensis",3820.00,18.00
119.00,1.00,"Monoletes undiff.",1203.00,7.00
119.00,1.00,"Myrica",136.00,3.00
119.00,1.00,"Neoboutonia-type macrocalyx",2999.00,1.00
119.00,1.00,"Olea",170.00,7.00
119.00,1.00,"Plantago",1064.00,1.00
119.00,1.00,"Poaceae undiff.",1207.00,53.00
119.00,1.00,"Podocarpus",128.00,6.00
119.00,1.00,"Rapanea melanophloeos-type",2105.00,9.00
119.00,1.00,"Senecio-type",1660.00,2.00
119.00,1.00,"Trema-type orientalis",623.00,4.00
119.00,1.00,"Triletes undiff.",1230.00,2.00
119.00,1.00,"Typha",112.00,1.00
119.00,1.00,"Undetermined",1231.00,8.00
119.00,1.00,"Urticaceae undiff.",1232.00,20.00
119.00,1.00,"Vernonia-type",644.00,1.00
120.00,1.00,"Acacia",37.00,50.00
120.00,1.00,"Acalypha",133.00,2.00
120.00,1.00,"Acanthaceae undiff.",954.00,4.00
120.00,1.00,"Acanthus-type",426.00,13.00
120.00,1.00,"Achyranthes-type aspera",438.00,10.00
120.00,1.00,"Amaranthaceae/Chenopodiaceae undiff.",2054.00,18.00
120.00,1.00,"Asteraceae undiff.",1174.00,3.00
120.00,1.00,"Borassus-type aethiopum",24.00,14.00
120.00,1.00,"Boscia-type",407.00,17.00
120.00,1.00,"Caucanthus-type",1102.00,3.00
120.00,1.00,"Celosia-type trigyna",1103.00,2.00
120.00,1.00,"Celtis",16.00,1.00
120.00,1.00,"Cichorieae undiff.",1180.00,1.00
120.00,1.00,"Cissus quadrangularis-type",4165.00,1.00
120.00,1.00,"Coccinia grandis-type",3766.00,2.00
120.00,1.00,"Combretaceae undiff.",1187.00,10.00
120.00,1.00,"Commiphora",152.00,11.00
120.00,1.00,"Cordia",314.00,2.00
120.00,1.00,"Cyathula-type orthacantha",1110.00,3.00
120.00,1.00,"Cyperaceae undiff.",1190.00,60.00
120.00,1.00,"Digera-type muricata",1113.00,18.00
120.00,1.00,"Dodonaea viscosa-type",1222.00,25.00
120.00,1.00,"Duosperma",3556.00,1.00
120.00,1.00,"Ecbolium",,1.00
120.00,1.00,"Ericaceae undiff.",1193.00,1.00
120.00,1.00,"Euclea",1119.00,2.00
120.00,1.00,"Euphorbia-type",529.00,6.00
120.00,1.00,"Grewia-type tenax",496.00,8.00
120.00,1.00,"Hildebrandtia-type obcordata",3142.00,5.00
120.00,1.00,"Hypoestes-type",772.00,3.00
120.00,1.00,"Indeterminable",1198.00,22.00
120.00,1.00,"Indigofera",551.00,1.00
