"sitenum","sitename","poldiv1","latdd","londd","altitude"
504,"Trou au Natron Erg T63-64_Ka46","TCD",21.05,16.75,1850
505,"Vrede Huab river","NAM",-20.32,14.16,540
506,"Brandberg_2","NAM",-21.07,14.58,1800
507,"Okandjombo","NAM",-18.25,12.85,824
508,"Webi Schebelli Melka Ouacana","ETH",9.61,38.50,2400
509,"Kella IV Awash Valley","ETH",8.75,38.50,2026
510,"Touka Awash Valley","ETH",8.75,38.50,2700
511,"Garba I Awash Valley","ETH",8.75,38.50,2025
512,"Garba A Awash Valley","ETH",8.75,38.50,2025
513,"Garba B Awash Valley","ETH",8.75,38.50,2025
514,"Gomboré, Awash Valley","ETH",8.75,38.50,2025
515,"Butte Kella Awash Valley","ETH",8.75,38.50,2025
516,"Falaise Kella Awash Valley","ETH",8.75,38.50,2025
517,"Shungura, Vallée de l'OMO","ETH",5.03,36.05,400
518,"Fort Ternan","KEN",0.20,35.35,1812
519,"Koobi Fora","KEN",2.75,36.25,365
520,"Laetoli","TZA",-3.21,35.21,1160
521,"Peninj","TZA",-2.14,36.24,750
522,"Olduvai Gorge Bed 1_2","TZA",-2.99,35.35,1480
523,"Pakhuis Pass_1166","ZAF",-32.10,19.06,450
524,"Pakhuis Pass_1168","ZAF",-32.10,19.06,450
525,"Pakhuis Pass_1173","ZAF",-32.10,19.06,450
526,"Pakhuis Pass_864","ZAF",-32.10,19.06,450
527,"Kakala","DRC",-2.18,28.42,2375
528,"Mugera","DRC",-2.39,29.52,1550
529,"Kamagema","DRC",-2.26,28.48,1510
530,"Bokuma-Isoku","DRC",-0.08,18.66,350
531,"Imbonga","TZA",-0.70,19.71,350
532,"ODP 1078","ATL",-11.92,13.40,426
533,"Iringa","TZA",-7.81,35.91,2100
534,"Shitlhava Dam","ZAF",-25.14,31.32,614
535,"Nyamundwa Dam","ZAF",-25.02,31.33,985
536,"Jikariya Lake","NGA",13.31,11.07,337
537,"Sibaya Lake","ZAF",-27.35,32.68,0
538,"Tiguent","MRT",17.25,-16.01,0
539,"Tiguent2","MRT",17.25,-16.01,0
540,"Loupoux","DZA",37.08,7.60,1200
541,"azeazez","FRO",15.08,-15.08,44
542,"Burullus lake","EGY",31.46,30.83,0
